column,subsystem,role,index
tune_prop_idleft_out,prop,out,metrics
tune_prop_iqleft_out,prop,out,metrics
tune_prop_ialeft_out,prop,out,metrics
tune_prop_ibleft_out,prop,out,metrics
tune_prop_icleft_out,prop,out,metrics
tune_prop_tagdleft_out,prop,out,metrics
tune_prop_tbgdleft_out,prop,out,metrics
tune_prop_tcgdleft_out,prop,out,metrics
tune_prop_tagdright_out,prop,out,metrics
tune_prop_tbgdright_out,prop,out,metrics
tune_prop_tcgdright_out,prop,out,metrics
tune_prop_flag_out,prop,out,events
tune_prop_faultright_out,prop,out,events
tune_prop_faultleft_out,prop,out,events
tune_prop_stateright_out,prop,out,events
tune_prop_stateleft_out,prop,out,events
tune_prop_drivereset_out,prop,out,events
tune_prop_autopilotflag_out,prop,out,events
tune_prop_positionlimitlow_out,prop,out,events
tune_prop_positionlimithigh_out,prop,out,events
tune_prop_maxthrust_out,prop,out,events
tune_therm_ems0_out,therm,out,metrics
tune_therm_ems1_out,therm,out,metrics
tune_therm_ems2_out,therm,out,metrics
tune_therm_ems3_out,therm,out,metrics
tune_therm_ems4_out,therm,out,metrics
tune_therm_ems5_out,therm,out,metrics
tune_therm_ems6_out,therm,out,metrics
tune_therm_ems7_out,therm,out,metrics
tune_therm_hems0_out,therm,out,metrics
tune_therm_hems1_out,therm,out,metrics
tune_therm_hems2_out,therm,out,metrics
tune_therm_hems3_out,therm,out,metrics
tune_therm_hems4_out,therm,out,metrics
tune_therm_hems5_out,therm,out,metrics
tune_therm_hems6_out,therm,out,metrics
tune_therm_hems7_out,therm,out,metrics
tune_therm_motorleftfront0_out,therm,out,metrics
tune_therm_motorleftfront1_out,therm,out,metrics
tune_therm_motorleftfront2_out,therm,out,metrics
tune_therm_motorleftfront3_out,therm,out,metrics
tune_therm_motorleftfront4_out,therm,out,metrics
tune_therm_motorleftfront5_out,therm,out,metrics
tune_therm_motorleftfront6_out,therm,out,metrics
tune_therm_motorleftfront7_out,therm,out,metrics
tune_therm_motorleftfront8_out,therm,out,metrics
tune_therm_motorrightfront0_out,therm,out,metrics
tune_therm_motorrightfront1_out,therm,out,metrics
tune_therm_motorrightfront2_out,therm,out,metrics
tune_therm_motorrightfront3_out,therm,out,metrics
tune_therm_motorrightfront4_out,therm,out,metrics
tune_therm_motorrightfront5_out,therm,out,metrics
tune_therm_motorrightfront6_out,therm,out,metrics
tune_therm_motorrightfront7_out,therm,out,metrics
tune_therm_motorrightfront8_out,therm,out,metrics
tune_therm_motorleftback0_out,therm,out,metrics
tune_therm_motorleftback1_out,therm,out,metrics
tune_therm_motorleftback2_out,therm,out,metrics
tune_therm_motorleftback3_out,therm,out,metrics
tune_therm_motorleftback4_out,therm,out,metrics
tune_therm_motorleftback5_out,therm,out,metrics
tune_therm_motorleftback6_out,therm,out,metrics
tune_therm_motorleftback7_out,therm,out,metrics
tune_therm_motorleftback8_out,therm,out,metrics
tune_therm_motorrightback0_out,therm,out,metrics
tune_therm_motorrightback1_out,therm,out,metrics
tune_therm_motorrightback2_out,therm,out,metrics
tune_therm_motorrightback3_out,therm,out,metrics
tune_therm_motorrightback4_out,therm,out,metrics
tune_therm_motorrightback5_out,therm,out,metrics
tune_therm_motorrightback6_out,therm,out,metrics
tune_therm_motorrightback7_out,therm,out,metrics
tune_therm_motorrightback8_out,therm,out,metrics
tune_therm_flow0_out,therm,out,metrics
tune_therm_flow1_out,therm,out,metrics
tune_therm_flow2_out,therm,out,metrics
tune_therm_flow3_out,therm,out,metrics
tune_therm_flow4_out,therm,out,metrics
tune_therm_flow5_out,therm,out,metrics
tune_therm_flow6_out,therm,out,metrics
tune_therm_flow7_out,therm,out,metrics
tune_therm_flowarray0_out,therm,out,metrics
tune_therm_flowarray1_out,therm,out,metrics
tune_therm_flowarray2_out,therm,out,metrics
tune_therm_flowarray3_out,therm,out,metrics
tune_therm_flowarray4_out,therm,out,metrics
tune_therm_flowarray5_out,therm,out,metrics
tune_therm_flowarray6_out,therm,out,metrics
tune_therm_flowarray7_out,therm,out,metrics
tune_therm_flowarray8_out,therm,out,metrics
tune_therm_flowarray9_out,therm,out,metrics
tune_therm_propdutycycle_out,therm,out,metrics
tune_therm_overheathems_out,therm,out,events
tune_therm_overheatems_out,therm,out,events
tune_therm_overheatmotor_out,therm,out,events
tune_therm_overheatflow_out,therm,out,events
tune_pwr_isores_out,pwr,out,metrics
tune_pwr_ivtcurrent_out,pwr,out,metrics
tune_pwr_maxvoltage_out,pwr,out,metrics
tune_pwr_minvoltage_out,pwr,out,metrics
tune_pwr_maxtemp_out,pwr,out,metrics
tune_pwr_mintemp_out,pwr,out,metrics
tune_pwr_totalvoltage_out,pwr,out,metrics
tune_pwr_packcurrent_out,pwr,out,metrics
tune_pwr_dclinkvoltage_out,pwr,out,metrics
tune_pwr_state_out,pwr,out,events
tune_pwr_hvalstatus_out,pwr,out,events
tune_pwr_imdwarnings_out,pwr,out,events
tune_pwr_errorstatus_out,pwr,out,events
tune_pwr_failreason_out,pwr,out,events
